"Model","Mean_AUC","SD_AUC","Mean_Accuracy","Mean_F1"
"GLM_no",0.26516962944625,0.4273478281399,0.24141925543976,0.225483359597394
"GLM_w",0.265631726329317,0.428130357312281,0.242734896021217,0.226660894648798
"GAM_no",0.265968668375227,0.428434611469947,0.246020299752696,0.228472107881221
"GAM_w",0.266749821823592,0.429702796007643,0.245783586109166,0.229804428644133
