"Model","Mean_AUC","SD_AUC","Mean_Accuracy","Mean_F1"
"GLM_no",0.45318386471868,0.480180054732783,0.42971005972978,0.426527382406595
"GLM_w",0.452136177403223,0.479264372065818,0.429821420103438,0.42605425924094
"GAM_no",0.37433542308196,0.48463801036299,0.356214178504773,0.350223908118662
"GAM_w",0.374368324235561,0.48467076009558,0.355954522283445,0.350058837973697
