Fold,Model,AUC,Sensitivity,Specificity,PPV,NPV,Cutoff,Youden,Accuracy,F1_Score,Kappa,auc_mean,auc_sd,ci_lower,ci_upper,se_mean,se_sd,se_lower,se_upper,sp_mean,sp_sd,sp_lower,sp_upper,ppv_mean,ppv_lower,ppv_upper,npv_mean,npv_lower,npv_upper,accuracy_mean,accuracy_lower,accuracy_upper
1,GAM_w,0.844118085,0.755363433,0.761080222,0.610665286,0.862466247,0.610179323,0.516443655,0.75918454,0.675350701,0.487349376,0.918038908,0.046548143,0.88918807,0.946889746,0.875317863,0.08684682,0.821489646,0.924522742,0.846286192,0.102490333,0.782762026,0.908532798,0.827578987,0.743950422,0.911207552,0.894738143,0.864953545,0.924522742,0.863222627,0.818813202,0.907632052
2,GAM_w,0.96356496,0.945831733,0.919920205,0.929290388,0.938508504,0.71777269,0.865751938,0.933567141,0.937488101,0.866621262,,,,,,,,,,,,,,,,,,,,,
3,GAM_w,0.985705711,0.99556541,0.969379744,0.982924694,0.99196572,0.512530759,0.964945154,0.986113735,0.989204671,0.969749583,,,,,,,,,,,,,,,,,,,,,
4,GAM_w,0.950294487,0.873902011,0.891044776,0.924617926,0.822087579,0.488284078,0.764946787,0.880679806,0.898544907,0.75400247,,,,,,,,,,,,,,,,,,,,,
5,GAM_w,0.920628531,0.839568345,0.851197358,0.795320309,0.885110768,0.240653953,0.690765703,0.846454768,0.816845544,0.684835015,,,,,,,,,,,,,,,,,,,,,
6,GAM_w,0.870166334,0.91010101,0.676385605,0.593935399,0.935343262,0.317490001,0.586486616,0.756350441,0.718787395,0.520058315,,,,,,,,,,,,,,,,,,,,,
7,GAM_w,0.876703354,0.711135612,0.924973205,0.821656051,0.868209256,0.41192998,0.636108817,0.855030653,0.762411348,0.658882729,,,,,,,,,,,,,,,,,,,,,
8,GAM_w,0.957993589,0.875221762,0.957378454,0.957102824,0.87595532,0.868265303,0.832600216,0.914596592,0.914332784,0.829529891,,,,,,,,,,,,,,,,,,,,,
9,GAM_w,0.920301245,0.926478202,0.776779638,0.845093039,0.889356397,0.252709534,0.70325784,0.861797224,0.883916222,0.714068509,,,,,,,,,,,,,,,,,,,,,
10,GAM_w,0.89091279,0.92001111,0.734722713,0.815183955,0.878378378,0.086464462,0.654733822,0.838451372,0.864431106,0.666379877,,,,,,,,,,,,,,,,,,,,,
