"Model","Mean_AUC","SD_AUC","Mean_Accuracy","Mean_F1"
"GLM_no",0.271936263949907,0.43788401418868,0.253329633496273,0.259262014650296
"GLM_w",0.272395058209014,0.438631492295326,0.254129322423843,0.26008196452522
"GAM_no",0.276639389662654,0.445724190244648,0.260474529695087,0.264976354073141
"GAM_w",0.276920762381729,0.446166462558747,0.261484518841078,0.266268011274683
