"Metric","Mean","SD","Median","Q25","Q75","CI_Lower","CI_Upper","Model"
"AUC",0.45318386471868,0.480180054732783,0.398162216988054,0,0.908077563000147,0,0.977130969001298,"GLM_no"
"Sensitivity",0.455885809249014,0.482367036820343,0.418585131894484,0,0.904974911949795,0,0.983244191413043,"GLM_no"
"Specificity",0.406082868141573,0.438774113167035,0.304686258935663,0,0.82704468984557,0,0.951329639774017,"GLM_no"
"PPV",0.40624763796185,0.443863121155281,0.261632415664986,0,0.830367936210754,0,0.96552598188679,"GLM_no"
"NPV",0.457868334784532,0.483464733946957,0.442467378410439,0,0.898963223787167,0,0.971776178136353,"GLM_no"
"Cutoff",0.198592629364744,0.235397419252528,0.0643049183726757,0,0.429756929024291,0,0.537673900747972,"GLM_no"
"Youden",0.361968677390587,0.40029145491249,0.236802813530604,0,0.691014521202815,0,0.92876590141879,"GLM_no"
"Accuracy",0.42971005972978,0.458520327599684,0.346942025907836,0,0.855041698685051,0,0.967611677458534,"GLM_no"
"F1_Score",0.426527382406595,0.457525304347052,0.325926820432315,0,0.871522227662128,0,0.971442055420692,"GLM_no"
"Kappa",0.357751288339361,0.40136828293147,0.203408734163084,0,0.693793703427804,0,0.932875365815455,"GLM_no"
"AUC",0.452136177403223,0.479264372065818,0.397549783728147,0,0.907470693740048,0,0.977560547933945,"GLM_w"
"Sensitivity",0.451182142661123,0.477897352311857,0.411031175059952,0,0.901323362665555,0,0.980746980500923,"GLM_w"
"Specificity",0.409234682870828,0.44174778328812,0.311517077045274,0,0.849087962335309,0,0.949406014809639,"GLM_w"
"PPV",0.40876732808631,0.446159346789017,0.262889688249401,0,0.839173205022538,0,0.964238387158693,"GLM_w"
"NPV",0.453582298153673,0.479396947932425,0.427807486631016,0,0.886244658204261,0,0.975391612629734,"GLM_w"
"Cutoff",0.207555526888958,0.242352789346856,0.0744291230998739,0,0.4355669039021,0,0.537390578559636,"GLM_w"
"Youden",0.360416825531952,0.39994464585402,0.232746663980913,0,0.695870914657816,0,0.930152995310562,"GLM_w"
"Accuracy",0.429821420103438,0.458645498826623,0.347897642811637,0,0.858210772778309,0,0.968496342781348,"GLM_w"
"F1_Score",0.42605425924094,0.45715824698823,0.323735695828719,0,0.863733080170723,0,0.972417231189574,"GLM_w"
"Kappa",0.357054757737745,0.401451832844018,0.202081161261379,0,0.70241612796211,0,0.934650208454786,"GLM_w"
"AUC",0.37433542308196,0.48463801036299,0,0,0.924131004516871,0,0.980607303704005,"GAM_no"
"Sensitivity",0.357545350319045,0.46557510738392,0,0,0.850919478179093,0,0.984115325173438,"GAM_no"
"Specificity",0.353660236212399,0.459398756960017,0,0,0.854249285739689,0,0.958219286980971,"GAM_no"
"PPV",0.344448834019012,0.455254458223491,0,0,0.843858375513116,0,0.970806496937561,"GAM_no"
"NPV",0.362286988432158,0.469576286719056,0,0,0.853905887859708,0,0.97974341321056,"GAM_no"
"Cutoff",0.220160209985335,0.294726208641534,0,0,0.444305990819472,0,0.689183293728496,"GAM_no"
"Youden",0.311205586531443,0.416973752071894,0,0,0.705168763918782,0,0.942334612154409,"GAM_no"
"Accuracy",0.356214178504773,0.463273382280738,0,0,0.852996910451464,0,0.974151511090611,"GAM_no"
"F1_Score",0.350223908118662,0.4592062830728,0,0,0.845287719989714,0,0.9774151834516,"GAM_no"
"Kappa",0.308138320646824,0.415520702409298,0,0,0.692000985252644,0,0.946279958940345,"GAM_no"
"AUC",0.374368324235561,0.48467076009558,0,0,0.923750386388167,0,0.980724042081257,"GAM_w"
"Sensitivity",0.357066258595333,0.464885130551205,0,0,0.84426736605474,0,0.984375332743304,"GAM_w"
"Specificity",0.354142494722743,0.460070659229449,0,0,0.858553637689235,0,0.958251347397044,"GAM_w"
"PPV",0.344749829356279,0.455707938950158,0,0,0.846129766369275,0,0.970856974669855,"GAM_w"
"NPV",0.361502805035407,0.46876047386634,0,0,0.852371579763319,0,0.979937846747664,"GAM_w"
"Cutoff",0.232876685024127,0.306650372121229,0,0,0.506469088847123,0,0.693564182615957,"GAM_w"
"Youden",0.311208753318076,0.416865861890887,0,0,0.702821003743974,0,0.942626680140348,"GAM_w"
"Accuracy",0.355954522283445,0.462948254089526,0,0,0.850305989893521,0,0.974290751450405,"GAM_w"
"F1_Score",0.350058837973697,0.458921372918263,0,0,0.842746355732036,0,0.97756844235855,"GAM_w"
"Kappa",0.307772269104759,0.415028527588747,0,0,0.687339196229513,0,0.946545710986008,"GAM_w"
