"Model","Mean_AUC","SD_AUC","Mean_Accuracy","Mean_F1"
"BRT_no",0.935097581648596,0.0451471170826932,0.878632757991369,0.860454952086469
"BRT_w",0.933807798829728,0.0464834085894895,0.876684122433963,0.85847156149233
"rf_no",0,0,0,0
"rf_w",0,0,0,0
