X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.432287114514741E-4,25.334829522509782,0.6213526983247946
2.0,2.0,train,1.4984811053849224E-4,28.30486401711995,0.6379715151278301
4.0,4.0,train,2.1115205314161599E-4,77.02935467280655,0.7610972126633444
5.0,5.0,train,2.256596002214583E-4,85.64907605989707,0.7834785689570684
6.0,6.0,train,2.1506348792871039E-4,79.51083858445409,0.7673499087816974
8.0,8.0,train,1.8114988141523927E-4,50.86100451462624,0.7072017228211005
9.0,9.0,train,1.8398117803712438E-4,53.16348584654471,0.7127690684052306
10.0,10.0,train,1.032048726267754E-4,14.971268677313299,0.5033013976777998
11.0,11.0,train,2.2530581968297877E-4,85.4478449845303,0.7829585584744463
14.0,14.0,train,1.9313393465611515E-4,61.77992322040211,0.7300526221219736
15.0,15.0,train,1.9906492737530994E-4,67.06634693090116,0.7406930614380517
16.0,16.0,train,2.7250508720637706E-5,3.514756699402226,0.1687043400359325
17.0,17.0,train,2.1406495697889454E-4,78.81553566934178,0.7657694176936695
18.0,18.0,train,1.3803499061478146E-4,23.141884612895307,0.6077808450774252
20.0,20.0,train,7.075225338953956E-5,9.876812170293878,0.38104929325577364
21.0,21.0,train,8.863138776327432E-5,12.52240747983358,0.4517136515353328
22.0,22.0,train,1.8468075362969354E-4,53.781223438864885,0.7141282970632317
23.0,23.0,train,2.2820563272695496E-4,86.88060110673895,0.7871843338048317
24.0,24.0,train,1.1593449558918023E-4,17.660616364532675,0.5443744630905339
25.0,25.0,train,1.5500196719267425E-4,31.25897581708931,0.6504042073208891
26.0,26.0,train,2.621253584707396E-4,96.331936707238,0.8309090805062488
28.0,28.0,train,1.9096647923734375E-4,59.69195556955934,0.7260561137845827
29.0,29.0,train,1.5540789914743024E-4,31.547475849127622,0.6513651072911513
30.0,30.0,train,7.917486804003068E-5,11.105937963891856,0.41540645390634456
32.0,32.0,train,1.5319930085651767E-4,30.25726039538294,0.6461049377097257
34.0,34.0,train,1.501396977482896E-4,28.51424950944986,0.6386865681463654
36.0,36.0,train,2.0188971597090083E-4,69.59695555555585,0.7456123685114693
37.0,37.0,train,1.7490587325612436E-4,45.73717015891561,0.6945393805808049
39.0,39.0,train,1.5953677561231425E-4,34.578024344073,0.6609899592017828
40.0,40.0,train,1.4016116935985584E-4,24.155041143579595,0.6133946605803424
43.0,43.0,train,2.221745410750011E-4,83.46271056155602,0.7783012055941773
44.0,44.0,train,2.3190253125467743E-4,88.31420362402916,0.7924525750133878
45.0,45.0,train,1.9164354540337914E-4,60.367873405973135,0.7273108502138645
46.0,46.0,train,1.1859622181432509E-4,18.192787573587097,0.5525236565007215
47.0,47.0,train,1.7690942062046413E-4,47.57164887274972,0.6986609682327447
48.0,48.0,train,1.8750579882154925E-4,56.37216123568785,0.7195520517158673
49.0,49.0,train,1.9984340907302622E-4,67.86842915549082,0.7420581886727498
50.0,50.0,train,1.1741320182360543E-4,18.006509793126323,0.5489198503292954
51.0,51.0,train,2.1022931621721353E-4,76.25633284355112,0.7595978223740493
52.0,52.0,train,4.874665761353786E-5,6.521317618246196,0.28145185679133766
53.0,53.0,train,2.764620653975656E-4,98.13535004010863,0.8465725630006871
54.0,54.0,train,1.785614114928071E-4,48.95780940388376,0.702017488507453
55.0,55.0,train,1.8805600828347756E-4,56.85743906891289,0.7205963552609242
56.0,56.0,train,1.7034161814386776E-4,42.217290062637076,0.6849383263631723
57.0,57.0,train,1.1011356557708767E-4,16.294744571150183,0.5260320977743387
58.0,58.0,train,1.997288024572708E-4,67.75305893690789,0.7418576692415304
59.0,59.0,train,1.535881489531295E-4,30.502533301087496,0.6470367713077685
61.0,61.0,train,1.8721179276944526E-4,56.10180957099662,0.718992425865252
63.0,63.0,train,1.699658223721073E-4,41.96421074252192,0.6841345094064001
65.0,65.0,train,2.690257751004904E-4,97.35591381886753,0.838638229375646
66.0,66.0,train,1.0535595060402118E-4,15.392599789948399,0.5104932719049431
67.0,67.0,train,1.0728438644291887E-4,15.718568862657975,0.5168521998290566
68.0,68.0,train,1.7858297950935648E-4,48.97429139831681,0.7020610623146808
71.0,71.0,train,1.091291790524242E-4,16.078213257132152,0.5228579946219651
72.0,72.0,train,1.738009388326836E-4,44.90600530894722,0.6922423018804839
73.0,73.0,train,2.9428396699326675E-5,3.763606892113944,0.1808898768371412
74.0,74.0,train,1.0617268384084216E-4,15.546226871815193,0.5131965654825461
78.0,78.0,train,1.6060861610046377E-4,35.35918935291666,0.6634447915152395
